[2025-09-28 21:22:32] Starting CBNE base run
[2025-09-28 21:22:32] Graph: /Volumes/PData/Data/Users/kn/Data/Dev/Github/Repos/phd3/cbne/local/Torch_CBNE/torch_cbne/../../../quantinuum/CBNE/graphs/Graph-2.graphml
[2025-09-28 21:22:32] Spectral gap: 0.5
[2025-09-28 21:22:32] Dimension (k): 1
[2025-09-28 21:22:32] One norm: 1.5
[2025-09-28 21:22:32] Walk length (z): 6
[2025-09-28 21:22:32] Planned samples: 5000
[2025-09-28 21:22:32] Seed set to 789
[2025-09-28 21:22:33] Iteration 500/5000 | progress 10.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 21:22:33] Iteration 1000/5000 | progress 20.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 21:22:34] Iteration 1500/5000 | progress 30.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 21:22:34] Iteration 2000/5000 | progress 40.0% | value=-11.390625 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 21:22:34] Iteration 2500/5000 | progress 50.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 21:22:35] Iteration 3000/5000 | progress 60.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 21:22:35] Iteration 3500/5000 | progress 70.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 21:22:36] Iteration 4000/5000 | progress 80.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 21:22:36] Iteration 4500/5000 | progress 90.0% | value=11.390625 | sample_time=0.0000s | chain_time=0.0008s | iter_time=0.0008s
[2025-09-28 21:22:36] Iteration 5000/5000 | progress 100.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 21:22:36] Completed run in 3.9613 seconds, estimate=0.5923125
