[2025-09-28 21:08:12] Starting CBNE base run
[2025-09-28 21:08:12] Graph: ../../../quantinuum/CBNE/graphs/Graph-2.graphml
[2025-09-28 21:08:12] Spectral gap: 0.5
[2025-09-28 21:08:12] Dimension (k): 1
[2025-09-28 21:08:12] One norm: 1.5
[2025-09-28 21:08:12] Walk length (z): 3
[2025-09-28 21:08:12] Planned samples: 10125
[2025-09-28 21:08:12] Seed set to 123
[2025-09-28 21:08:13] Iteration 1012/10125 | progress 10.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0004s | iter_time=0.0005s
[2025-09-28 21:08:13] Iteration 2024/10125 | progress 20.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0004s | iter_time=0.0004s
[2025-09-28 21:08:14] Iteration 3036/10125 | progress 30.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0004s | iter_time=0.0005s
[2025-09-28 21:08:14] Iteration 4048/10125 | progress 40.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0004s | iter_time=0.0005s
[2025-09-28 21:08:15] Iteration 5060/10125 | progress 50.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0004s | iter_time=0.0004s
[2025-09-28 21:08:15] Iteration 6072/10125 | progress 60.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0004s | iter_time=0.0004s
[2025-09-28 21:08:16] Iteration 7084/10125 | progress 70.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0004s | iter_time=0.0004s
[2025-09-28 21:08:16] Iteration 8096/10125 | progress 80.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0004s | iter_time=0.0004s
[2025-09-28 21:08:17] Iteration 9108/10125 | progress 90.0% | value=3.375000 | sample_time=0.0000s | chain_time=0.0004s | iter_time=0.0004s
[2025-09-28 21:08:17] Iteration 10120/10125 | progress 100.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0004s | iter_time=0.0004s
[2025-09-28 21:08:17] Iteration 10125/10125 | progress 100.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0004s | iter_time=0.0004s
[2025-09-28 21:08:17] Completed run in 5.1739 seconds, estimate=0.5966666666666667
