[2025-09-28 21:44:29] Starting CBNE base run
[2025-09-28 21:44:29] Graph: ../../../quantinuum/CBNE/graphs/Graph-3.graphml
[2025-09-28 21:44:29] Spectral gap: 0.3333333333333333
[2025-09-28 21:44:29] Dimension (k): 2
[2025-09-28 21:44:29] One norm: 1.3333333333333333
[2025-09-28 21:44:29] Walk length (z): 6
[2025-09-28 21:44:29] Planned samples: 5000
[2025-09-28 21:44:29] Seed set to 123
[2025-09-28 21:44:29] Iteration 500/5000 | progress 10.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0008s | iter_time=0.0009s
[2025-09-28 21:44:30] Iteration 1000/5000 | progress 20.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0008s | iter_time=0.0008s
[2025-09-28 21:44:30] Iteration 1500/5000 | progress 30.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0008s | iter_time=0.0009s
[2025-09-28 21:44:31] Iteration 2000/5000 | progress 40.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0009s | iter_time=0.0009s
[2025-09-28 21:44:31] Iteration 2500/5000 | progress 50.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0009s | iter_time=0.0010s
[2025-09-28 21:44:32] Iteration 3000/5000 | progress 60.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0009s | iter_time=0.0010s
[2025-09-28 21:44:32] Iteration 3500/5000 | progress 70.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0009s | iter_time=0.0009s
[2025-09-28 21:44:33] Iteration 4000/5000 | progress 80.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0008s | iter_time=0.0008s
[2025-09-28 21:44:33] Iteration 4500/5000 | progress 90.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0009s | iter_time=0.0009s
[2025-09-28 21:44:34] Iteration 5000/5000 | progress 100.0% | value=5.618656 | sample_time=0.0003s | chain_time=0.0009s | iter_time=0.0012s
[2025-09-28 21:44:34] Completed run in 4.9902 seconds, estimate=0.3315006858710582
