[2025-09-28 20:31:10] Starting CBNE base run
[2025-09-28 20:31:10] Graph: /Volumes/PData/Data/Users/kn/Data/Dev/Github/Repos/phd3/cbne/quantinuum/CBNE/graphs/Graph-1.graphml
[2025-09-28 20:31:10] Spectral gap: 0.5
[2025-09-28 20:31:10] Dimension (k): 1
[2025-09-28 20:31:10] One norm: 1.3333333333333333
[2025-09-28 20:31:10] Walk length (z): 6
[2025-09-28 20:31:10] Planned samples: 15188
[2025-09-28 20:31:10] Seed set to 123
[2025-09-28 20:31:11] Iteration 1518/15188 | progress 10.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 20:31:12] Iteration 3036/15188 | progress 20.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 20:31:13] Iteration 4554/15188 | progress 30.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 20:31:14] Iteration 6072/15188 | progress 40.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 20:31:16] Iteration 7590/15188 | progress 50.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 20:31:17] Iteration 9108/15188 | progress 60.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 20:31:18] Iteration 10626/15188 | progress 70.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 20:31:19] Iteration 12144/15188 | progress 80.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0008s | iter_time=0.0008s
[2025-09-28 20:31:20] Iteration 13662/15188 | progress 90.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 20:31:21] Iteration 15180/15188 | progress 99.9% | value=5.618656 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 20:31:21] Iteration 15188/15188 | progress 100.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0007s | iter_time=0.0007s
[2025-09-28 20:31:21] Completed run in 11.6828 seconds, estimate=0.4428187295363048
