[2025-09-29 06:13:15] Starting CBNE base run
[2025-09-29 06:13:15] Graph: /Volumes/PData/Data/Users/kn/Data/Dev/Github/Repos/phd3/cbne/local/Torch_CBNE/torch_cbne/../../../quantinuum/CBNE/graphs/Graph-4.graphml
[2025-09-29 06:13:15] Spectral gap: 0.3333333333333333
[2025-09-29 06:13:15] Dimension (k): 2
[2025-09-29 06:13:15] One norm: 1.5
[2025-09-29 06:13:15] Walk length (z): 6
[2025-09-29 06:13:15] Planned samples: 4000
[2025-09-29 06:13:15] Seed set to 789
[2025-09-29 06:13:16] Iteration 400/4000 | progress 10.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0010s | iter_time=0.0010s
[2025-09-29 06:13:16] Iteration 800/4000 | progress 20.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0010s | iter_time=0.0011s
[2025-09-29 06:13:17] Iteration 1200/4000 | progress 30.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0009s | iter_time=0.0010s
[2025-09-29 06:13:17] Iteration 1600/4000 | progress 40.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0009s | iter_time=0.0010s
[2025-09-29 06:13:17] Iteration 2000/4000 | progress 50.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0009s | iter_time=0.0010s
[2025-09-29 06:13:18] Iteration 2400/4000 | progress 60.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0009s | iter_time=0.0010s
[2025-09-29 06:13:18] Iteration 2800/4000 | progress 70.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0009s | iter_time=0.0009s
[2025-09-29 06:13:19] Iteration 3200/4000 | progress 80.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0009s | iter_time=0.0010s
[2025-09-29 06:13:19] Iteration 3600/4000 | progress 90.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0010s | iter_time=0.0011s
[2025-09-29 06:13:20] Iteration 4000/4000 | progress 100.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0009s | iter_time=0.0010s
[2025-09-29 06:13:20] Completed run in 4.2648 seconds, estimate=0.4841015625
