[2025-09-29 05:55:24] Starting CBNE base run
[2025-09-29 05:55:24] Graph: /Volumes/PData/Data/Users/kn/Data/Dev/Github/Repos/phd3/cbne/local/Torch_CBNE/torch_cbne/../../../quantinuum/CBNE/graphs/Graph-4.graphml
[2025-09-29 05:55:24] Spectral gap: 0.3333333333333333
[2025-09-29 05:55:24] Dimension (k): 2
[2025-09-29 05:55:24] One norm: 1.5
[2025-09-29 05:55:24] Walk length (z): 8
[2025-09-29 05:55:24] Planned samples: 29810
[2025-09-29 05:55:24] Seed set to 456
[2025-09-29 05:55:28] Iteration 2981/29810 | progress 10.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0012s | iter_time=0.0013s
[2025-09-29 05:55:32] Iteration 5962/29810 | progress 20.0% | value=25.628906 | sample_time=0.0000s | chain_time=0.0012s | iter_time=0.0013s
[2025-09-29 05:55:37] Iteration 8943/29810 | progress 30.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0012s | iter_time=0.0013s
[2025-09-29 05:55:41] Iteration 11924/29810 | progress 40.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0012s | iter_time=0.0012s
[2025-09-29 05:55:45] Iteration 14905/29810 | progress 50.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0012s | iter_time=0.0013s
[2025-09-29 05:55:49] Iteration 17886/29810 | progress 60.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0012s | iter_time=0.0013s
[2025-09-29 05:55:53] Iteration 20867/29810 | progress 70.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0012s | iter_time=0.0013s
[2025-09-29 05:55:57] Iteration 23848/29810 | progress 80.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0012s | iter_time=0.0013s
[2025-09-29 05:56:01] Iteration 26829/29810 | progress 90.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0012s | iter_time=0.0013s
[2025-09-29 05:56:05] Iteration 29810/29810 | progress 100.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0012s | iter_time=0.0013s
[2025-09-29 05:56:05] Completed run in 40.3737 seconds, estimate=0.457382694565582
