[2025-09-29 05:58:17] Starting CBNE base run
[2025-09-29 05:58:17] Graph: /Volumes/PData/Data/Users/kn/Data/Dev/Github/Repos/phd3/cbne/local/Torch_CBNE/torch_cbne/../../../quantinuum/CBNE/graphs/Graph-4.graphml
[2025-09-29 05:58:17] Spectral gap: 0.3333333333333333
[2025-09-29 05:58:17] Dimension (k): 2
[2025-09-29 05:58:17] One norm: 1.5
[2025-09-29 05:58:17] Walk length (z): 8
[2025-09-29 05:58:17] Planned samples: 37263
[2025-09-29 05:58:17] Seed set to 456
[2025-09-29 05:58:22] Iteration 3726/37263 | progress 10.0% | value=25.628906 | sample_time=0.0001s | chain_time=0.0012s | iter_time=0.0014s
[2025-09-29 05:58:27] Iteration 7452/37263 | progress 20.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0012s | iter_time=0.0012s
[2025-09-29 05:58:32] Iteration 11178/37263 | progress 30.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0012s | iter_time=0.0012s
[2025-09-29 05:58:37] Iteration 14904/37263 | progress 40.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0012s | iter_time=0.0013s
[2025-09-29 05:58:42] Iteration 18630/37263 | progress 50.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0012s | iter_time=0.0012s
[2025-09-29 05:58:47] Iteration 22356/37263 | progress 60.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0012s | iter_time=0.0013s
[2025-09-29 05:58:52] Iteration 26082/37263 | progress 70.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0013s | iter_time=0.0013s
[2025-09-29 05:58:57] Iteration 29808/37263 | progress 80.0% | value=25.628906 | sample_time=0.0001s | chain_time=0.0012s | iter_time=0.0013s
[2025-09-29 05:59:02] Iteration 33534/37263 | progress 90.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0014s | iter_time=0.0015s
[2025-09-29 05:59:07] Iteration 37260/37263 | progress 100.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0012s | iter_time=0.0013s
[2025-09-29 05:59:07] Iteration 37263/37263 | progress 100.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0012s | iter_time=0.0013s
[2025-09-29 05:59:07] Completed run in 50.8817 seconds, estimate=0.4731955961677804
