[2025-09-29 05:40:37] Starting CBNE base run
[2025-09-29 05:40:37] Graph: /Volumes/PData/Data/Users/kn/Data/Dev/Github/Repos/phd3/cbne/local/Torch_CBNE/torch_cbne/../../../quantinuum/CBNE/graphs/Graph-4.graphml
[2025-09-29 05:40:37] Spectral gap: 0.3333333333333333
[2025-09-29 05:40:37] Dimension (k): 2
[2025-09-29 05:40:37] One norm: 1.5
[2025-09-29 05:40:37] Walk length (z): 6
[2025-09-29 05:40:37] Planned samples: 6250
[2025-09-29 05:40:37] Seed set to 789
[2025-09-29 05:40:37] Iteration 625/6250 | progress 10.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0009s | iter_time=0.0010s
[2025-09-29 05:40:38] Iteration 1250/6250 | progress 20.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0009s | iter_time=0.0010s
[2025-09-29 05:40:39] Iteration 1875/6250 | progress 30.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0009s | iter_time=0.0009s
[2025-09-29 05:40:39] Iteration 2500/6250 | progress 40.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0010s | iter_time=0.0011s
[2025-09-29 05:40:40] Iteration 3125/6250 | progress 50.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0009s | iter_time=0.0009s
[2025-09-29 05:40:41] Iteration 3750/6250 | progress 60.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0009s | iter_time=0.0011s
[2025-09-29 05:40:41] Iteration 4375/6250 | progress 70.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0009s | iter_time=0.0011s
[2025-09-29 05:40:42] Iteration 5000/6250 | progress 80.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0009s | iter_time=0.0010s
[2025-09-29 05:40:43] Iteration 5625/6250 | progress 90.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0009s | iter_time=0.0010s
[2025-09-29 05:40:43] Iteration 6250/6250 | progress 100.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0009s | iter_time=0.0010s
[2025-09-29 05:40:43] Completed run in 6.5383 seconds, estimate=0.4829625
