[2025-09-29 05:47:53] Starting CBNE base run
[2025-09-29 05:47:53] Graph: /Volumes/PData/Data/Users/kn/Data/Dev/Github/Repos/phd3/cbne/local/Torch_CBNE/torch_cbne/../../../quantinuum/CBNE/graphs/Graph-4.graphml
[2025-09-29 05:47:53] Spectral gap: 0.3333333333333333
[2025-09-29 05:47:53] Dimension (k): 2
[2025-09-29 05:47:53] One norm: 1.5
[2025-09-29 05:47:53] Walk length (z): 8
[2025-09-29 05:47:53] Planned samples: 9767
[2025-09-29 05:47:53] Seed set to 789
[2025-09-29 05:47:55] Iteration 976/9767 | progress 10.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0013s | iter_time=0.0014s
[2025-09-29 05:47:56] Iteration 1952/9767 | progress 20.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0012s | iter_time=0.0013s
[2025-09-29 05:47:57] Iteration 2928/9767 | progress 30.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0012s | iter_time=0.0012s
[2025-09-29 05:47:59] Iteration 3904/9767 | progress 40.0% | value=0.000000 | sample_time=0.0002s | chain_time=0.0012s | iter_time=0.0014s
[2025-09-29 05:48:00] Iteration 4880/9767 | progress 50.0% | value=-25.628906 | sample_time=0.0001s | chain_time=0.0012s | iter_time=0.0013s
[2025-09-29 05:48:01] Iteration 5856/9767 | progress 60.0% | value=0.000000 | sample_time=0.0000s | chain_time=0.0012s | iter_time=0.0012s
[2025-09-29 05:48:03] Iteration 6832/9767 | progress 69.9% | value=0.000000 | sample_time=0.0001s | chain_time=0.0012s | iter_time=0.0013s
[2025-09-29 05:48:04] Iteration 7808/9767 | progress 79.9% | value=0.000000 | sample_time=0.0000s | chain_time=0.0012s | iter_time=0.0012s
[2025-09-29 05:48:05] Iteration 8784/9767 | progress 89.9% | value=0.000000 | sample_time=0.0000s | chain_time=0.0012s | iter_time=0.0013s
[2025-09-29 05:48:07] Iteration 9760/9767 | progress 99.9% | value=0.000000 | sample_time=0.0000s | chain_time=0.0012s | iter_time=0.0013s
[2025-09-29 05:48:07] Iteration 9767/9767 | progress 100.0% | value=0.000000 | sample_time=0.0001s | chain_time=0.0013s | iter_time=0.0013s
[2025-09-29 05:48:07] Completed run in 13.3068 seconds, estimate=0.44608519120507834
